Date	MSFT	F	CRAY	GOOG	HPQ	YHOO	JAVA	DELL	AAPL	IBM	LNVGY	CSCO	BAC	INTC	AMD	SNE	NVDA	AMZN	CREAF	EK
1/2/2008	35.22	6.6	5.81	619.98	49.65	23.72	17.42	24.39	194.84	104.69	18.41	26.54	40.56	25.35	7.14	54.11	33.01	96.25	4.3	21.57
1/3/2008	35.37	6.45	5.69	622.73	49.65	23.84	17.15	23.71	194.93	104.9	18.5	26.75	40.3	24.67	6.77	54.35	32.75	95.21	4.3	20.95
1/4/2008	34.38	6.13	5.58	619.4	46.87	23.16	16.31	22.09	180.05	101.13	17.85	26.12	39.85	22.67	6.25	52.42	30	88.79	4.3	19.76
1/7/2008	34.61	6.16	5.59	622.87	45.35	23.18	16.11	21.26	177.64	100.05	17.7	26.13	39.9	22.88	6.08	54.1	26.9	88.82	4.4	19.92
1/8/2008	33.45	6.1	5.33	618.48	43.19	22.61	15.86	20.74	171.25	97.59	16.6	25.43	38.41	22.26	6	54.16	27.47	87.88	4.3	19.21
1/9/2008	34.44	6.07	5.12	611.68	44.44	22.56	15.66	20.93	179.4	98.31	15	26.24	38.74	22.75	5.53	57.19	28.89	85.22	3.95	19.37
1/10/2008	34.33	6.25	5.31	601.12	45.34	24.09	16.05	20.94	178.02	99.92	14.45	26.24	39.3	22.54	5.96	56.43	28.29	84.26	4.05	19.53
1/11/2008	33.91	6.06	5.24	598.68	45	23.36	15.29	20.76	172.69	97.67	14.35	25.87	38.5	21.99	6.25	55.3	27.05	81.08	3.95	19.26
1/14/2008	34.39	6.18	5.49	596.42	46.13	23.7	15.13	21.45	178.78	102.93	13.6	26.29	39.22	23.08	6.41	55.75	28.85	82.87	3.85	19.27
1/15/2008	34	5.97	5.35	593.94	45.05	22.91	14.98	20.9	169.04	101.83	13.15	25.85	37.88	22.69	6.12	53.78	26.73	80.24	3.75	18.04
1/16/2008	33.23	5.86	5.44	597.76	44.34	21.95	15.53	20.68	159.64	101.63	12.33	25.15	38.69	19.88	6.57	52.55	23.71	80.35	3.6	18.71
1/17/2008	33.11	5.76	5.38	593.14	43	21.22	15.93	20.86	160.89	101.1	11.8	24.33	36.91	19.33	6.34	51.12	23.3	80.12	3.5	18.14
1/18/2008	33.01	5.92	5.31	595.73	43.75	20.78	15.92	21.08	161.36	103.4	11.8	24.3	35.97	19	7.07	51.44	24.84	79.76	3.6	18.21
1/22/2008	31.96	5.93	5.64	590.51	42.72	19.86	15.15	20.25	155.64	101.22	11.05	23.48	37.39	18.61	6.83	50.06	23.6	78.48	3.5	18.12
1/23/2008	31.93	6.3	5.65	591.5	43.19	20.01	14.82	20.12	139.07	106.1	11.7	24.03	40.57	19.98	7.56	48.56	24.03	73.97	3.35	18.94
1/24/2008	33.25	6.26	5.66	589.02	44.89	21.69	16.12	21.09	135.6	106.91	11.1	25.11	39.9	20.69	7.58	47.49	25.87	77.67	3.5	19.65
1/25/2008	32.94	6.58	5.58	587.05	43.74	21.94	16.43	20.06	130.01	104.52	12.05	24.2	39.48	20	7.15	46.69	24.95	77.6	3.47	19.36
1/28/2008	32.72	6.67	5.39	586.25	43.8	20.78	16.65	20.35	130.01	104.98	11.9	24.1	41.2	20.29	7.46	46.95	24.65	75.82	3.49	19.63
1/29/2008	32.6	6.69	5.43	585.01	43.38	20.81	16.95	20.56	131.54	106.1	12.1	24.06	41.94	20.5	7.61	48.28	25.41	73.95	3.6	20.45
1/30/2008	32.2	6.75	5.35	585.74	43.54	19.05	17.55	20.43	132.18	105.65	12.35	24.36	42.21	20.69	7.61	47.5	25.19	74.21	3.75	19.75
1/31/2008	32.6	6.64	5.46	587.51	43.72	19.18	17.5	20.04	135.36	107.11	14.45	24.5	44.15	21.1	7.59	47.5	24.59	77.7	3.8	19.93
2/1/2008	30.45	6.85	5.5	589.87	44.42	28.38	17.49	20.35	133.75	109.08	14.5	24.94	45.03	21.77	8	46.3	26.86	74.63	3.9	20.3
2/4/2008	30.19	6.68	5.55	583	44.06	29.33	17.26	20.02	131.65	107.93	14.45	23.82	44.03	21.2	7.92	44.56	26.02	73.95	4.05	19.74
2/5/2008	29.07	6.43	5.25	579.76	42.98	28.98	16.53	19.12	129.36	105.02	13.5	23.26	42.37	20.12	7.21	43.28	24.39	72.09	4.07	18.98
2/6/2008	28.52	6.31	5.26	585.74	42.16	28.57	16.78	19.07	122	103.59	12.95	23.08	42.33	19.92	6.74	42.82	24.31	68.49	4.1	18.66
2/7/2008	28.12	6.17	5.16	583.09	40.5	29.04	16.33	19.43	121.24	102.34	13	23.38	43.37	20.05	6.59	44.04	24.55	70.91	4.05	19.29
2/8/2008	28.56	6.08	5.34	582.35	41.88	29.2	16.37	19.45	125.48	103.27	13.05	23.54	42.16	20.27	6.34	42.99	24.99	73.5	4.05	19.13
2/11/2008	28.21	6.39	5.36	569.97	42.63	29.87	16.81	19.93	129.45	105.14	13.25	23.52	42.14	20.68	6.28	43.5	25.07	75.19	4.3	19.36
2/12/2008	28.34	6.46	5.27	572.99	42.88	29.57	16.81	19.71	124.86	106.53	13.95	23.43	42.82	20.9	6.41	43.66	26	74.45	4.59	19.34
2/13/2008	28.96	6.58	5.1	576.65	44.05	29.88	17.39	20.31	129.4	108.42	14.2	24.06	43.33	21.21	6.7	44.81	27.02	77.73	4.8	19.92
2/14/2008	28.5	6.46	5.38	577.49	43.26	29.98	17.21	19.81	127.46	106.13	14.1	23.53	42.24	20.46	6.53	44.88	22.61	75.8	4.5	19.35
2/15/2008	28.42	6.45	5	576.28	43.87	29.66	17.02	19.57	124.63	106.16	13.95	23.3	42.7	20.11	6.45	44.78	22.27	72.96	4.65	19.34
2/19/2008	28.17	6.48	4.95	572.05	43.95	29.01	16.89	19.28	122.18	105	13.65	22.88	42.67	20.16	6.5	46.96	21.94	72.08	4.7	19.06
2/20/2008	28.22	6.41	5.21	567.85	47.44	28.83	17.32	19.75	123.82	107.85	13.6	23.2	42.97	20.38	6.83	46.73	21.78	73.64	4.5	19.18
2/21/2008	28.1	6.23	5.11	570.56	46.83	28.42	17.24	19.27	121.54	106.93	13.38	23.19	42.21	20.3	6.96	46.58	21.29	69.9	4.65	18.48
2/22/2008	27.68	6.25	4.9	566.76	47.4	28.42	17.25	19.54	119.46	108.07	13.6	23.6	42.6	19.82	6.71	46.77	22.32	72.08	4.9	18.5
2/25/2008	27.84	6.46	5.03	562.51	48.13	28.13	17.54	20.14	119.74	110.08	13.75	23.8	42.94	19.94	6.97	47.98	22.31	73.27	4.95	19.25
2/26/2008	28.38	6.52	4.96	551.1	49.2	28.22	17.52	20.48	119.15	114.38	13.9	24.07	42.72	20.69	7.13	48.91	22.5	71.69	4.95	18.35
2/27/2008	28.26	6.6	5	548.65	48.94	28.37	17.7	20.77	122.96	116.46	13.9	24.95	42.88	20.77	7.28	49.65	22.85	70.87	5.05	18.06
2/28/2008	27.93	6.62	4.87	540.33	48.55	28.15	17.21	20.87	129.91	115.24	14.25	24.66	41.42	20.49	7.02	48.84	21.99	67.85	5.15	17.84
2/29/2008	27.2	6.53	4.71	537.29	47.77	27.78	16.4	19.9	125.02	113.86	13.75	24.39	39.74	19.97	7.21	47.21	21.39	64.47	5.19	16.98
3/3/2008	26.99	6.18	4.65	533.99	47.6	27.77	16.38	19.94	121.73	114.23	14	24.4	39.18	20.01	6.76	46.7	21.14	62.43	5.1	17.22
3/4/2008	27.59	6.13	4.78	536.12	48.45	28.06	16.43	19.67	124.62	115.71	13.55	24.29	38.78	20	6.76	46.69	20.93	65.34	5.26	17.48
3/5/2008	28.12	6.12	4.76	551.05	48.31	28.67	16.46	19.79	124.49	115.39	13.5	24.27	37.55	20.2	6.84	46.78	21.17	64.99	5.3	17.32
3/6/2008	27.57	5.94	4.52	540.3	47.78	28.7	16.01	19.43	120.93	112.52	12.75	23.94	36.52	19.87	6.49	45.68	19.84	62.74	5.25	16.96
3/7/2008	27.87	5.78	4.55	548.29	47.31	29.03	16	19.35	122.25	113.94	12	24.11	36.74	20.07	6.49	44.32	19.55	64.09	5	16.83
3/10/2008	28.05	5.6	4.57	554.21	46.71	28.51	15.94	19.12	119.69	114.01	11.65	23.99	35.31	20.12	6.16	42.81	18.43	63.47	5	16.82
3/11/2008	29.28	5.9	4.6	553.69	47.92	29	16.92	19.83	127.35	116.49	12.7	25.15	37.72	21.2	6.48	44.83	19.04	67.15	5.2	17.31
3/12/2008	28.63	5.7	4.6	554.09	47.27	28.45	16.96	19.69	126.03	117.07	13	25.14	37.03	21.12	6.43	43.36	18.52	66.51	5.25	17.23
3/13/2008	28.62	5.39	4.73	551.1	47.02	27.5	16.79	19.85	127.94	115.91	12.8	24.95	37.14	21.28	6.73	43.31	19.7	68.32	5.05	16.92
3/14/2008	27.96	5.29	4.73	551.72	45.92	26.71	16.4	19.4	126.61	115.23	12.6	24.32	35.69	20.66	6.38	41.86	18.32	68.22	5.02	17.39
3/17/2008	28.3	5.11	4.94	552.09	46.42	25.85	16.26	19.39	126.73	115.55	11.75	24.29	35.96	20.85	6.34	40.88	17.86	66.53	4.9	16.84
3/18/2008	29.42	5.29	5.33	549.85	47.93	27.66	16.69	20.32	132.82	118.41	11.75	25.58	38.93	21.75	6.39	41.85	18.97	71.7	4.87	17.05
3/19/2008	28.62	5.45	5.13	529.91	46.59	27.07	15.67	19.51	129.67	116.94	11.8	24.47	38.56	21.09	6.15	41.04	17.66	70.17	4.82	16.62
