	MSFT	F	CRAY	GOOG	HPQ	YHOO	JAVA	DELL	AAPL	IBM	LNVGY	CSCO	BAC	INTC	AMD	SNE	NVDA	AMZN	CREAF	EK
11/1/2007	37.06	8.5	5.77	701.78	51.5	30.22	21.84	29.7	187.44	113.65	22.65	32.18	45.71	26.5	12.8	49.1	35.38	87.65	4.1	27.76
11/2/2007	37.06	8.95	6.46	697.34	52.4	31.11	22.4	30.05	187.87	114.59	22.9	32.51	45.11	26.8	13.17	49.54	36.74	85.98	4.2	25.8
11/5/2007	36.73	8.67	6.13	706.07	52.54	31.36	22.84	29.97	186.18	113.4	21.45	33.08	44.45	26.84	13.42	48.64	36.74	84.37	4.38	24.95
11/6/2007	36.41	8.63	6.02	725	53.41	29.93	20.64	30.25	191.79	113.17	22.45	34.08	45.56	27.49	13.43	48.85	37.9	87.27	4.95	25.24
11/7/2007	35.52	8.24	6.05	723.14	51.84	27.63	20.88	29.31	186.3	111.08	20.3	32.75	43.31	26.9	13.01	47.93	36.1	87.04	5.04	25.14
11/8/2007	34.74	8.48	6.19	677.18	49.94	26.7	20.76	28.54	175.47	106.11	18.95	29.63	43.5	25.93	12.51	47.27	33.84	83.58	5.05	24.9
11/9/2007	33.73	8.2	6.08	661.21	48.39	25.79	20.56	27.31	165.37	100.25	18	28.58	43.98	25.15	12.37	47	33.36	78.89	4.85	24.88
11/12/2007	33.38	7.87	6.35	626.21	47.54	24.78	20.51	27.17	153.76	101.45	16.9	29.11	43.98	25.37	11.95	46.71	30.03	77	4.4	24.4
11/13/2007	34.46	8	6.32	632.07	49.5	26.1	21.25	28.21	169.96	105.27	18.2	30.14	46.27	26.14	12.4	48.92	32.68	79.86	4.4	24.92
11/14/2007	33.93	7.98	6.15	636.27	49.07	25.07	20	27.61	166.11	103.44	20.25	29.71	45.73	25.85	12.28	48.65	32.17	78.51	4.55	24.46
11/15/2007	33.76	7.78	6.07	624	48.9	25.42	19.95	26.83	164.3	103.6	18.82	29.3	44.08	25.53	12.7	48.38	31.74	77.85	4.4	24.13
11/16/2007	34.09	7.7	6.11	616.02	50.75	26.82	20.33	26.91	166.39	104.79	18.6	29.94	44.37	25.51	12.64	48.23	32.45	78.6	4.35	23.51
11/19/2007	33.96	7.34	5.95	618.5	49.44	26.76	19.63	26.62	163.95	102.22	16.85	29.43	42.82	25.17	12.07	47.32	30.26	79.18	4.27	23.38
11/20/2007	34.58	7.24	5.9	632.87	49.56	26.72	19.47	26.31	168.85	103.42	18.9	29.04	42.77	25.52	11.28	48.14	30.03	80.39	4.35	22.99
11/21/2007	34.23	6.95	5.78	642.08	48.88	25.71	19.11	25.56	168.46	102.22	17.8	28.25	42.14	24.63	10.83	47.33	29.71	79.76	4.17	22.64
11/23/2007	34.11	7.19	5.87	668.11	49.17	26.13	19.16	26.13	171.54	104.05	16.45	28.69	43.15	25.07	10.78	49.08	30.22	81.43	4.25	23.15
11/26/2007	32.97	7.03	5.75	665	48.16	25.22	19.43	25.71	172.54	101.97	16.5	27.5	41.88	24.37	10.27	50.01	29.52	81.3	4.2	23.07
